operand1,operator,operand2,correct,start_time,end_time,user_guess
410,%,4,True,1496845353613,1496845363806,False
659,%,2,True,1496845349077,1496845351373,False
47,%,9,True,1496845254461,1496845263683,False
58,%,5,True,1496845251371,1496845254453,False
5090,%,6,True,1496845796735,1496845798104,False
2535,%,3,False,1496845827482,1496845828835,False
7045,%,2,True,1496845778307,1496845780159,False
73,%,9,True,1496845302779,1496845310422,False
7288,%,5,True,1496845479405,1496845481168,False
3821,%,9,True,1496845567370,1496845623108,False
3302,%,2,True,1496845447531,1496845450623,True
506,%,3,True,1496845326904,1496845349070,False
5392,%,3,True,1496845805008,1496845806068,False
8134,%,9,True,1496845450631,1496845473557,False
5365,%,2,True,1496845655631,1496845658139,False
3894,%,9,True,1496845793293,1496845796732,False
4813,%,9,True,1496845821765,1496845823462,False
6653,%,4,False,1496845798118,1496845799626,True
1543,%,5,True,1496845476777,1496845479401,False
37,%,5,True,1496845263689,1496845287201,False
3862,%,9,True,1496845809801,1496845811693,False
3099,%,5,True,1496845813165,1496845815427,False
1905,%,2,False,1496845823474,1496845825380,True
1420,%,6,True,1496845481172,1496845552820,False
6314,%,6,True,1496845782218,1496845783737,False
7170,%,5,True,1496845776199,1496845778303,True
4945,%,2,True,1496845639281,1496845641563,False
3250,%,4,True,1496845658152,1496845672806,False
538,%,4,True,1496845363812,1496845383484,False
736,%,5,True,1496845351378,1496845353600,False
8337,%,9,True,1496845825385,1496845827476,False
4166,%,3,False,1496845803719,1496845805002,True
76,%,3,True,1496845287205,1496845302770,False
31,%,5,True,1496845007505,1496845042694,False
529,%,3,True,1496845404848,1496845447519,False
5266,%,4,True,1496845683751,1496845738528,False
6220,%,2,True,1496845788063,1496845790995,True
5258,%,4,False,1496845783745,1496845788057,True
6519,%,2,True,1496845799636,1496845801327,False
4191,%,3,False,1496845672813,1496845676721,False
6686,%,2,True,1496845552844,1496845567272,True
5720,%,2,True,1496845806075,1496845807967,True
2156,%,6,True,1496845676729,1496845683741,False
6382,%,5,True,1496845473568,1496845476772,False
44,%,5,True,1496845310432,1496845315980,False
56,%,5,True,1496845316011,1496845326898,False
431,%,5,True,1496845402930,1496845404824,False
1352,%,2,True,1496845652937,1496845655623,True
3559,%,5,True,1496845807970,1496845809792,False
4503,%,6,True,1496845780165,1496845782211,False
7893,%,4,True,1496845738534,1496845776192,False
1651,%,9,True,1496845623125,1496845639273,False
186,%,4,True,1496845383491,1496845402926,False
77,%,3,True,1496845042707,1496845251366,False
7722,%,4,True,1496845791004,1496845793287,False
1825,%,9,True,1496845641569,1496845652929,False
6505,%,3,True,1496845801332,1496845803714,False
2464,%,2,True,1496845828842,1496845830727,True
7968,%,6,False,1496845811703,1496845813158,False
47,%,5,True,1496844998883,1496845007469,False
