"word","definition","subtopic","topic","language","credit"
"JSON","A human-readable, plain text format for expressing structured data with support in many programming languages.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"map-reduce","A data processing and aggregation paradigm consisting of a “map” phase that selects data and a “reduce” phase that transforms the data.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"mongos","The routing and load balancing process that acts an interface between an application and a MongoDB sharded cluster. ","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"mongod","The MongoDB database server. The MongoDB server manages data requests and formats and manages background operations. ","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"mongo","The MongoDB shell.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"collection","A grouping of MongoDB documents.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"collection scan","A very inefficient query execution strategy which requires MongoDB to inspect every document in a collection to see if it matches the query criteria.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"daemon","The conventional name for a background, non-interactive process.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"document","A record in a MongoDB collection and the basic unit of data in MongoDB.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"BSON","A serialization format used to store documents and make remote procedure calls in MongoDB.  Named by combining the words “binary” and “JSON”.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"CRUD","An acronym for the fundamental operations of a database: Create, Read, Update, and Delete.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"index","A data structure that optimizes queries.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"primary key","A record’s unique immutable identifier.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"RDBMS","Relational Database Management System. A database management system based on the relational model, typically using SQL as the query language.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
"unix epoch","January 1st, 1970 at 00:00:00 UTC. Commonly used in expressing time, where the number of seconds or milliseconds since this point is counted.","mongodb","webdev","english","https://docs.mongodb.com/manual/reference/glossary/"
